  1856         2017
 1948   -0.011   -0.023    0.032   -0.066    0.000    0.059   -0.035   -0.018   -0.048    0.012    0.139    0.067
 1949    0.158    0.165    0.043    0.103   -0.019    0.006    0.076    0.107    0.075    0.109    0.112    0.122
 1950    0.115   -0.029   -0.101   -0.126   -0.054   -0.038   -0.051    0.025    0.014   -0.086    0.085    0.093
 1951    0.108    0.003    0.017    0.174    0.177    0.294    0.427    0.308    0.254    0.264    0.180    0.180
 1952    0.177    0.187    0.235    0.196    0.185    0.388    0.377    0.408    0.367    0.359    0.255    0.345
 1953    0.270    0.190    0.146    0.318    0.347    0.280    0.348    0.263    0.285    0.153    0.249    0.263
 1954    0.232    0.100    0.106   -0.009    0.075    0.104   -0.040   -0.010   -0.006   -0.027   -0.022   -0.046
 1955    0.081    0.045    0.046    0.100    0.181    0.198    0.273    0.180    0.208    0.284    0.391    0.261
 1956    0.191    0.099    0.018    0.068   -0.053   -0.259   -0.085   -0.093   -0.084   -0.038   -0.082    0.024
 1957   -0.076   -0.101   -0.015   -0.069   -0.116   -0.007    0.045    0.207    0.226    0.154    0.089    0.084
 1958    0.053    0.194    0.349    0.351    0.206    0.226    0.169    0.166    0.217    0.156    0.190    0.224
 1959    0.105    0.119   -0.023    0.001    0.012   -0.055   -0.027    0.017    0.130    0.117    0.055    0.114
 1960    0.181    0.221    0.093    0.101    0.307    0.323    0.275    0.340    0.215    0.301    0.255    0.142
 1961    0.065    0.085    0.153    0.231    0.198    0.037   -0.014    0.040    0.007    0.033    0.071    0.218
 1962    0.153    0.156    0.170    0.092    0.027   -0.067   -0.004   -0.059    0.008    0.070    0.050    0.194
 1963    0.161    0.170    0.138    0.108   -0.081   -0.043   -0.032   -0.069   -0.198   -0.067   -0.053   -0.056
 1964   -0.071    0.025    0.043   -0.142    0.045    0.008   -0.140   -0.230   -0.216   -0.267   -0.162   -0.117
 1965   -0.194   -0.173   -0.074   -0.093   -0.095   -0.123   -0.184   -0.206   -0.218   -0.244   -0.272   -0.119
 1966   -0.072    0.014   -0.006    0.048    0.005   -0.041   -0.052   -0.040    0.004    0.017    0.007    0.084
 1967    0.085    0.092   -0.030   -0.011   -0.183   -0.257   -0.226   -0.161   -0.093   -0.096   -0.231   -0.149
 1968   -0.243   -0.194   -0.205   -0.152   -0.120   -0.259   -0.226   -0.210   -0.146   -0.110   -0.104   -0.123
 1969   -0.059    0.108    0.211    0.153    0.014    0.032    0.097   -0.097   -0.103   -0.182   -0.120   -0.028
 1970   -0.007   -0.045    0.023    0.023   -0.043   -0.179   -0.196   -0.137   -0.134   -0.192   -0.237   -0.206
 1971   -0.242   -0.288   -0.306   -0.409   -0.323   -0.359   -0.346   -0.431   -0.362   -0.231   -0.239   -0.304
 1972   -0.314   -0.376   -0.435   -0.322   -0.465   -0.484   -0.371   -0.379   -0.298   -0.282   -0.273   -0.346
 1973   -0.369   -0.389   -0.339   -0.260   -0.164   -0.171   -0.099   -0.128   -0.126   -0.211   -0.204   -0.233
 1974   -0.271   -0.279   -0.396   -0.518   -0.495   -0.442   -0.510   -0.463   -0.501   -0.503   -0.421   -0.356
 1975   -0.268   -0.334   -0.304   -0.340   -0.383   -0.290   -0.267   -0.180   -0.331   -0.349   -0.336   -0.317
